freq                    ,Gain                    ,Phase                   
933.2543008,23.86947533,-6.410748691
954.992586,23.99133326,-6.789096083
977.237221,24.12001624,-7.199127532
1000,24.25594443,-7.644270088
1023.292992,24.39956331,-8.128408683
1047.128548,24.55134381,-8.655959401
1071.519305,24.7117816,-9.231956179
1096.478196,24.88139542,-9.862153579
1122.018454,25.06072383,-10.55314873
1148.153621,25.25031969,-11.31252607
1174.897555,25.45074162,-12.14902899
1202.264435,25.66254093,-13.07276293
1230.268771,25.88624231,-14.09543449
1258.925412,26.12231582,-15.23063077
1288.249552,26.37113656,-16.49414141
1318.256739,26.63292748,-17.90432211
1348.962883,26.90767878,-19.48249107
1380.384265,27.19503542,-21.25333611
1412.537545,27.49414231,-23.2452867
1445.439771,27.80343409,-25.49076554
1479.108388,28.12035647,-28.0261721
1513.561248,28.44100889,-30.89135793
1548.816619,28.75971038,-34.12822989
1584.893192,29.06851711,-37.77798089
1621.810097,29.3567723,-41.87636344
1659.586907,29.61084885,-46.44653392
1698.243652,29.81434131,-51.48954352
1737.800829,29.9490194,-56.9737651
1778.27941,29.99676492,-62.82632382
1819.700859,29.94237279,-68.9310469
1862.087137,29.77655281,-75.13687504
1905.460718,29.49805055,-81.27693712
1949.8446,29.11395586,-87.19304454
1995.262315,28.63805351,-92.75716804
2041.737945,28.0879647,-97.8832686
2089.296131,27.48219058,-102.5280776
2137.96209,26.83788118,-106.6839781
2187.761624,26.16960036,-110.3686257
2238.721139,25.48893818,-113.6149109
2290.867653,24.80466452,-116.4630496
2344.228815,24.12314265,-118.955164
2398.832919,23.44881346,-121.1319885
2454.708916,22.78464892,-123.0311204
2511.886432,22.13253344,-124.6862779
2570.395783,21.49356541,-126.1271626
2630.267992,20.86828645,-127.3796494
2691.534804,20.25685152,-128.4661341
2754.228703,19.65915277,-129.4059367
2818.382931,19.07490868,-130.2157041
2884.031503,18.50372746,-130.9097857
2951.209227,17.94515189,-131.5005677
3019.95172,17.39869046,-131.9987661
3090.295433,16.86383903,-132.4136771
3162.27766,16.34009538,-132.7533912
3235.936569,15.82696901,-133.0249736
3311.311215,15.32398727,-133.2346171
3388.441561,14.83069923,-133.3877703
3467.368505,14.3466776,-133.4892461
3548.133892,13.87151966,-133.5433128
3630.780548,13.40484726,-133.5537717
3715.352291,12.94630626,-133.5240216
3801.893963,12.49556565,-133.4571146
3890.45145,12.05231644,-133.355803
3981.071706,11.61627039,-133.2225792
4073.802778,11.18715871,-133.0597096
4168.693835,10.76473074,-132.8692641
4265.795188,10.34875262,-132.6531413
4365.158322,9.939006014,-132.413089
4466.835922,9.535286903,-132.1507239
4570.881896,9.137404397,-131.8675464
4677.351413,8.745179646,-131.5649551
4786.300923,8.358444797,-131.244258
4897.788194,7.977042024,-130.9066831
